Start50Longitude,Start50Latitude,End50Longitude,End50Latitude,weight50
114.2022737,30.6204374,114.2077591,30.61801572,76
114.2077591,30.61801572,114.2022737,30.6204374,75
114.2674578,30.61374914,114.2620423,30.61619792,68
114.2620426,30.61618823,114.2674581,30.61373945,65
114.3056404,30.55667225,114.3110901,30.55425844,65
114.3110901,30.55425844,114.3056404,30.55667225,64
114.2536152,30.6058546,114.2590303,30.60339737,61
114.2299069,30.60651442,114.2353403,30.60405961,60
114.2590303,30.60339737,114.2536152,30.6058546,60
114.2353403,30.60405961,114.2299069,30.60651442,59
114.2386128,30.60731468,114.2440367,30.60485694,59
114.4314062,30.46865787,114.4259052,30.47099289,59
114.2440367,30.60485694,114.2386128,30.60731468,58
114.2477086,30.60547781,114.2531259,30.60301898,58
114.2838336,30.598509,114.2892596,30.59607559,58
114.4259051,30.47099102,114.4314061,30.468656,58
114.2531259,30.60301898,114.2477086,30.60547781,57
114.2892596,30.59607559,114.2838336,30.598509,57
114.2959086,30.55386803,114.3013444,30.5514364,57
114.4034059,30.48896659,114.4089394,30.48665438,57
114.2183374,30.55074744,114.2237838,30.54828051,56
114.2483105,30.60741869,114.2537276,30.60496072,56
114.2537276,30.60496072,114.2483105,30.60741869,56
114.3013444,30.55143615,114.2959086,30.55386778,56
114.4089394,30.48665438,114.4034059,30.48896659,56
114.2237838,30.54828051,114.2183374,30.55074744,55
114.2309157,30.62878027,114.2363498,30.62633401,55
114.2640786,30.61470089,114.2694943,30.61225293,55
114.2363498,30.62633401,114.2309157,30.62878027,54
114.344149,30.54290303,114.3496584,30.5405564,54
114.3713179,30.59947773,114.3768624,30.59719022,54
114.2394426,30.63794658,114.2448684,30.63550129,53
114.3496584,30.5405564,114.344149,30.54290303,53
114.3768624,30.59719022,114.3713179,30.59947773,53
114.232661,30.60660268,114.2380911,30.60414657,52
114.2331781,30.59140974,114.2386063,30.58894749,52
114.2380911,30.60414657,114.2326625,30.60660676,52
114.2448684,30.63550129,114.2394426,30.63794658,52
114.2694944,30.61225457,114.2640787,30.61470253,52
114.2386063,30.58894749,114.2331781,30.59140974,51
114.3326903,30.49334532,114.3381778,30.49096246,51
114.3792457,30.59343726,114.3847936,30.59115436,51
114.3847936,30.59115436,114.3792457,30.59343726,51
114.4487296,30.5018551,114.4541775,30.49948872,51
114.3381778,30.49096246,114.3326903,30.49334532,50
114.3516341,30.58338532,114.3461181,30.58571328,50
114.4541775,30.49948872,114.4487296,30.5018551,50
