Start25Longitude,Start25Latitude,End25Longitude,End25Latitude,weight25
114.2070276,30.56927132,114.212498,30.5668235,49
114.3424888,30.60196003,114.348001,30.59963205,49
114.3461181,30.58571328,114.3516341,30.58338532,49
114.348001,30.59963205,114.3424888,30.60196003,49
114.212498,30.5668235,114.2070276,30.56927132,48
114.400068,30.47461374,114.4056026,30.4722983,48
114.4056026,30.4722983,114.400068,30.47461374,47
114.2100541,30.59626492,114.2155203,30.59382347,46
114.3176866,30.62364419,114.3122208,30.62601932,46
114.2155203,30.59382347,114.2100541,30.59626492,45
114.28609,30.47308965,114.2806773,30.47556777,45
114.2741675,30.57220056,114.2795837,30.56974541,44
114.2795837,30.56974541,114.2741675,30.57220056,44
114.292654,30.63673617,114.298093,30.63433133,44
114.2111396,30.56278977,114.2166007,30.56033461,43
114.2166007,30.56033461,114.2111612,30.56279571,43
114.2467811,30.60510205,114.2522034,30.60264057,43
114.2560518,30.61275392,114.2614671,30.61030032,43
114.2646966,30.60151138,114.2701113,30.59905863,43
114.2701113,30.59905863,114.2646966,30.60151138,43
114.298093,30.63433116,114.292654,30.636736,43
114.3122208,30.62601932,114.3176866,30.62364419,43
114.2014456,30.56340808,114.206928,30.56096571,42
114.2521988,30.60264296,114.2467811,30.60510203,42
114.206928,30.56096571,114.2014456,30.56340808,41
114.2320554,30.62820204,114.237488,30.625755,41
114.3590917,30.6156058,114.3646268,30.61330981,41
114.4087603,30.52588431,114.403223,30.52818466,41
114.1975402,30.60087665,114.2030353,30.59845405,40
114.237488,30.625755,114.2320554,30.62820204,40
114.2551938,30.58164023,114.2606065,30.57917427,40
114.2606065,30.57917427,114.2551938,30.58164023,40
114.2644283,30.57518428,114.2698333,30.5727166,40
114.3319083,30.47589726,114.337393,30.47350808,40
114.3646268,30.61330981,114.3590917,30.6156058,40
114.3846019,30.53327327,114.3901433,30.53097097,40
114.4200445,30.4827617,114.425557,30.48043668,40
114.1740848,30.53583491,114.1685158,30.53822985,39
114.2030353,30.59845405,114.1975402,30.60087665,39
114.2077843,30.62477283,114.2132578,30.62234559,39
114.2132578,30.62234559,114.2077843,30.62477283,39
114.337393,30.47350808,114.3319083,30.47589726,39
114.3475513,30.53751531,114.3530651,30.53517268,39
114.3530651,30.53517268,114.3475513,30.53751531,39
114.3901458,30.5309723,114.3846019,30.53327327,39
114.425557,30.48043668,114.4200445,30.4827617,39
114.2698407,30.57272131,114.2644283,30.57518428,38
114.2839218,30.59405144,114.2784993,30.59649331,38
114.3138097,30.57685074,114.3192737,30.57445929,38
114.3192737,30.57445929,114.3138097,30.57685074,38
114.1685217,30.53821248,114.1740907,30.53581803,37
114.2268156,30.61622803,114.2322774,30.6137665,37
114.2614669,30.61030013,114.2560494,30.61274238,37
114.3704058,30.60170757,114.3759498,30.59941999,37
114.2272999,30.60926683,114.2327265,30.60678519,36
114.2322541,30.61377895,114.2268156,30.61622803,36
114.2397196,30.53116228,114.2451359,30.52867681,36
114.2572283,30.60274586,114.2626426,30.60028892,36
114.2626426,30.60028892,114.2572283,30.60274586,36
114.3759498,30.59941999,114.3704058,30.60170757,36
114.3979855,30.48198517,114.4035197,30.47967271,36
114.2451359,30.52867681,114.2397196,30.53116228,35
114.2735656,30.5883627,114.2789829,30.58591293,35
114.2789829,30.58591293,114.2735656,30.5883627,35
114.3105059,30.5607089,114.3159634,30.55830543,35
114.3157956,30.55639594,114.321261,30.55400091,35
114.3159634,30.55830543,114.3105059,30.5607089,35
114.3774873,30.58468789,114.3830337,30.58240031,35
114.3830337,30.58240031,114.3774873,30.58468789,35
114.3895239,30.5127271,114.3950658,30.51042168,35
114.2025454,30.62558737,114.1928106,30.62324872,34
114.2616543,30.61816601,114.2670699,30.61571778,34
114.2670699,30.61571778,114.2616543,30.61816601,34
114.321261,30.55400092,114.3157956,30.55639595,34
