Start10Longitude,Start10Latitude,End10Longitude,End10Latitude,weight10
114.26569,30.61394036,114.2602757,30.61639042,25
114.2673504,30.57882432,114.2619379,30.58128677,25
114.3285605,30.50652973,114.3230873,30.50892629,25
114.4089591,30.52971467,114.4034219,30.53201381,25
114.210689,30.57228977,114.2161518,30.56983855,24
114.2161518,30.56983855,114.210689,30.57228977,24
114.2217406,30.61123096,114.2271865,30.60878354,24
114.2613589,30.61948261,114.2667732,30.61703472,24
114.2832967,30.58609406,114.2887212,30.58365515,24
114.2887212,30.58365515,114.2832967,30.58609406,24
114.3090426,30.64159586,114.3035883,30.64397918,24
114.3301133,30.59477128,114.3356054,30.59241773,24
114.3345614,30.59494859,114.3400607,30.59260348,24
114.3400607,30.59260348,114.3345614,30.59494859,24
114.3587827,30.60871516,114.3643059,30.60639815,24
114.1619542,30.6137997,114.1675848,30.61145548,23
114.2074483,30.61543463,114.2019623,30.61785693,23
114.208314,30.62048451,114.2137871,30.61805547,23
114.2602752,30.61639027,114.2656837,30.61394026,23
114.2970474,30.5488041,114.3024843,30.54637261,23
114.2022737,30.6204374,114.194047,30.61776178,22
114.2351325,30.60080237,114.2405655,30.59835802,22
114.250117,30.57204225,114.2555304,30.56957112,22
114.2541201,30.56963642,114.2595319,30.56716562,22
114.2613974,30.57832351,114.2559891,30.58078953,22
114.280677,30.47556805,114.2860897,30.4730899,22
114.2882168,30.59774836,114.2936461,30.59532231,22
114.3024843,30.54637261,114.2970474,30.5488041,22
114.3567364,30.58054014,114.3512137,30.58286077,22
114.3643168,30.60641755,114.3587827,30.60871674,22
114.2019623,30.61785693,114.2074483,30.61543463,21
114.2286052,30.6221847,114.2340417,30.61973696,21
114.2340417,30.61973696,114.2286052,30.6221847,21
114.2555304,30.56957112,114.250117,30.57204225,21
114.2583922,30.61005948,114.2529749,30.61251641,21
114.2595319,30.56716562,114.2541201,30.56963642,21
114.3121553,30.62040105,114.3066851,30.62278173,21
114.3216365,30.58306554,114.3271136,30.58069071,21
114.3277666,30.57855669,114.3223113,30.58091214,21
114.3367153,30.55552467,114.3312242,30.55788924,21
114.3512137,30.58286077,114.3567364,30.58054014,21
